Japanese,English
の,of
に,to
する,do
は,teeth
を,of
が,but
と,and
年,Year
で,in
だ,is
月,Month
も,too
から,from
日,Day
成る,Become
こと,thing
有る,Yes
よる,evening
など,Such
言う,To tell
日本,Japan
為,for the sake of
この,this
人,Man
その,the
まで,to
もの,thing
へ,fart
又,or
これ,this
行う,conduct
よう,Yo
出来る,I can do it
駅,station
国,Country
より,Than
大学,university
現在,the current
後,rear
か,mosquito
線,line
ぬ,Nu
放送,broadcast
号,issue
軍,army
無い,
部,Department
持つ,have
所,place
名,given name
回,times
世界,world
時,Time
戦,war
時代,era
東京,Tokyo
おく,put
でも,but
呼ぶ,call
会,Association
それ,that
機,machine
会う,meet
受ける,receive
多い,many
選手,player
場合,case
対する,against
しかし,but
つく,arrive
昭和,Showa
作品,the work
地,earth
中,During ~
使用,use
共に,both
学校,school
語,word
彼,he
行く,go
アメリカ,America
当時,at that time
番組,program
車,car
社,company
川,river
映画,movie
位,rank
見る,look
テレビ,tv set
系,system
研究,the study
町,town
東,east
存在,existence
活動,activity
発売,Release
他,other
